product_name,brands,nutriscore_grade,nova_group,energy-kcal_100g,sugars_100g,sodium_100g,saturated-fat_100g,fat_100g,carbohydrates_100g,proteins_100g,fiber_100g,additives_n,url,pnns_groups_1,pnns_groups_2,ID_Match
Suero rehidratante Electrolit sabor manzana,Electro,e,4.0,20.0,64.8,0.936,,0.0,64.8,0.0,,0.0,http://world-en.openfoodfacts.org/product/7501125104343/suero-rehidratante-electrolit-sabor-manzana-electro,Beverages,Sweetened beverages,SUERO REHIDRATANTE ELECTROLIT SABOR MANZANA | ELECTRO
Suero rehidratante coco,Electrolit,c,4.0,20.0,5.0,0.0048,0.0,0.0,5.0,0.0,0.0,0.0,http://world-en.openfoodfacts.org/product/7501125104411/suero-rehidratante-coco-electrolit,Beverages,Sweetened beverages,SUERO REHIDRATANTE COCO | ELECTROLIT
Suero rehidratante Electrolit sabor naranja mandarina,Electrolit,b,4.0,20.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,http://world-en.openfoodfacts.org/product/7501125104688/suero-rehidratante-electrolit-sabor-naranja-mandarina,Beverages,Sweetened beverages,SUERO REHIDRATANTE ELECTROLIT SABOR NARANJA MANDARINA | ELECTROLIT
Electrolit,Electrolit,c,4.0,20.0,5.0,0.326,,0.0,5.0,0.0,,1.0,http://world-en.openfoodfacts.org/product/7501125118562/electrolit,unknown,unknown,ELECTROLIT | ELECTROLIT
Electrolit,PiSA,c,,22.222222222222,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,http://world-en.openfoodfacts.org/product/7501125174797/electrolit-pisa,Beverages,Unsweetened beverages,ELECTROLIT | PISA
B- coffee olla,Bodylogic,d,4.0,288.0,66.0,0.0,0.0,0.0,71.0,1.0,5.0,4.0,http://world-en.openfoodfacts.org/product/7501125182853/b-coffee-olla-bodylogic,unknown,unknown,B- COFFEE OLLA | BODYLOGIC
Suero rehidratante Electrolit sabor mora azul,Electrolit,c,4.0,20.0,5.0,0.012,0.0,0.0,5.0,0.0,0.0,0.0,http://world-en.openfoodfacts.org/product/7501125183454/suero-rehidratante-electrolit-sabor-mora-azul,Beverages,Sweetened beverages,SUERO REHIDRATANTE ELECTROLIT SABOR MORA AZUL | ELECTROLIT
Electrolit Guayaba,Electrolit,unknown,,20.0,5.0,0.012,,0.0,5.0,0.0,,,http://world-en.openfoodfacts.org/product/7501125187179/electrolit-guayaba,unknown,unknown,ELECTROLIT GUAYABA | ELECTROLIT
Harina,Espuma Chapalita,unknown,,337.2,,0.005,,0.2,71.3,11.2,,,http://world-en.openfoodfacts.org/product/7501126700001/harina-espuma-chapalita,unknown,unknown,HARINA | ESPUMA CHAPALITA
Harina de trigo Inmaculada,Inmaculada,b,3.0,335.0,14.9,0.003048,0.3,1.6,68.6,11.6,4.9,1.0,http://world-en.openfoodfacts.org/product/7501126700292/harina-de-trigo-inmaculada,unknown,unknown,HARINA DE TRIGO INMACULADA | INMACULADA
Hot Cakes Integrales,Espuma De Chapala,unknown,,211.0,5.6,0.51,1.8,3.6,36.5,8.2,6.6,,http://world-en.openfoodfacts.org/product/7501126700339/hot-cakes-integrales-espuma-de-chapala,unknown,unknown,HOT CAKES INTEGRALES | ESPUMA DE CHAPALA
Harina de trigo,Espuma de chapala,c,,,15.4,0.00305,0.4,1.9,71.5,11.2,1.4,,http://world-en.openfoodfacts.org/product/7501126711328/harina-de-trigo-espuma-de-chapala,Cereals and potatoes,Cereals,HARINA DE TRIGO | ESPUMA DE CHAPALA
Paleta Chemisse Holanda,Holanda,c,4.0,,14.1,0.01524,1.9,3.1,16.4,0.0,0.1,9.0,http://world-en.openfoodfacts.org/product/7501130900411/paleta-chemisse-holanda,unknown,unknown,PALETA CHEMISSE HOLANDA | HOLANDA
Mordisko,Holanda,c,4.0,,13.3,0.14,4.0,5.57,25.3,2.09,0.696,4.0,http://world-en.openfoodfacts.org/product/7501130901050/mordisko-holanda,Milk and dairy products,Ice cream,MORDISKO | HOLANDA
Mordisko,Holanda,c,4.0,156.52173913043,15.478260869565,0.134782608695648,3.8260869565217,5.6521739130435,24.173913043478,2.1739130434783,0.7,8.0,http://world-en.openfoodfacts.org/product/7501130901081/mordisko-holanda,Milk and dairy products,Ice cream,MORDISKO | HOLANDA
CREMISSIMO - Sabor chocolate,Holanda,c,4.0,109.0,11.9,4.06e-05,3.9,4.4,15.7,1.7,0.7,4.0,http://world-en.openfoodfacts.org/product/7501130902095/cremissimo-sabor-chocolate-holanda,Milk and dairy products,Ice cream,CREMISSIMO - SABOR CHOCOLATE | HOLANDA
Nieve de chocolate - Holanda,Holanda,unknown,,183.0,,,,6.6,28.9,1.9,1.3,,http://world-en.openfoodfacts.org/product/7501130903245/nieve-de-chocolate-holanda,unknown,unknown,NIEVE DE CHOCOLATE - HOLANDA | HOLANDA
Helado Vainilla,Holanda,unknown,,169.0,18.2000007629395,,5.19999980926514,6.30000019073486,26.8999996185303,1.20000004768372,0.200000002980232,,http://world-en.openfoodfacts.org/product/7501130926947/helado-vainilla-holanda,unknown,unknown,HELADO VAINILLA | HOLANDA
Helado de vainilla mini con almendras Magnum,Magnum,e,4.0,,21.5,0.044,10.8,17.3,22.5,4.33,0.5,4.0,http://world-en.openfoodfacts.org/product/7501130934393/helado-de-vainilla-mini-con-almendras-magnum,Milk and dairy products,Ice cream,HELADO DE VAINILLA MINI CON ALMENDRAS MAGNUM | MAGNUM
Mini Clásica Magnum,Magnum,e,4.0,323.0,29.1,0.046,13.9,20.4,31.1,0.0038,1.6,4.0,http://world-en.openfoodfacts.org/product/7501130934416/mini-clasica-magnum,Milk and dairy products,Ice cream,MINI CLÁSICA MAGNUM | MAGNUM
Choco Crem Fresa,Holanda,d,4.0,,15.1,0.0313,8.21,11.7,22.8,11.7,0.897,5.0,http://world-en.openfoodfacts.org/product/7501130934973/choco-crem-fresa-holanda,Milk and dairy products,Ice cream,CHOCO CREM FRESA | HOLANDA
Cremisimo,Holanda,e,4.0,101.0,6.0,0.0,3.2,3.9,7.6,3.9,4.8,3.0,http://world-en.openfoodfacts.org/product/7501130935031/cremisimo-holanda,Milk and dairy products,Ice cream,CREMISIMO | HOLANDA
Paleta Solero Original Holanda,Holanda,c,4.0,78.5714285714286,16.2857142857143,0.0028571428571428,0.0,0.0,19.5714285714286,0.0,0.0,4.0,http://world-en.openfoodfacts.org/product/7501130935512/paleta-solero-original-holanda,Milk and dairy products,Ice cream,PALETA SOLERO ORIGINAL HOLANDA | HOLANDA
Sliced Beef Pastrami,Beth Yosef,unknown,,130.0,,,,5.0,4.0,19.0,2.0,,http://world-en.openfoodfacts.org/product/7501134500365/sliced-beef-pastrami-beth-yosef,unknown,unknown,SLICED BEEF PASTRAMI | BETH YOSEF
Beef Polish Sausage,Beth Yosef By Kurson,unknown,,110.0,1.0,0.79,2.0,4.5,3.0,18.0,2.0,,http://world-en.openfoodfacts.org/product/7501134500440/beef-polish-sausage-beth-yosef-by-kurson,unknown,unknown,BEEF POLISH SAUSAGE | BETH YOSEF BY KURSON
Queso Oaxaca,Kurson Kosher,unknown,,278.0,,0.7,,21.5,3.0,21.5,0.0,,http://world-en.openfoodfacts.org/product/7501134502031/queso-oaxaca-kurson-kosher,unknown,unknown,QUESO OAXACA | KURSON KOSHER
Queso Panela,Kurson Kosher,unknown,,270.0,,,9.93000030517578,21.0,2.52999997138977,18.1000003814697,,,http://world-en.openfoodfacts.org/product/7501134503953/queso-panela-kurson-kosher,unknown,unknown,QUESO PANELA | KURSON KOSHER
"Tender de pescado, Mickey aventuras sobre ruedas",Mickey aventuras sobre ruedas,d,4.0,,0.0,0.721,1.4,7.8,16.2,10.2,2.0,4.0,http://world-en.openfoodfacts.org/product/7501135900720/tender-de-pescado-mickey-aventuras-sobre-ruedas,Composite foods,One-dish meals,"TENDER DE PESCADO, MICKEY AVENTURAS SOBRE RUEDAS | MICKEY AVENTURAS SOBRE RUEDAS"
Medallón De Camarón Empanizado,Ricomar,unknown,,185.0,1.49,0.66,1.28,7.89,14.8,13.7,2.35,,http://world-en.openfoodfacts.org/product/7501135900904/medallon-de-camaron-empanizado-ricomar,unknown,unknown,MEDALLÓN DE CAMARÓN EMPANIZADO | RICOMAR
Tapioca,E.W. Ernesto Weinstein,d,2.0,,85.8,0.024384,0.0,0.0,85.8,0.0,0.0,0.0,http://world-en.openfoodfacts.org/product/7501136510447/tapioca-e-w-ernesto-weinstein,Sugary snacks,Sweets,TAPIOCA | E.W. ERNESTO WEINSTEIN
Plátanos,Charricos,unknown,,504.0,0.800000011920929,,2.79999995231628,26.7999992370605,65.1999969482422,2.40000009536743,5.19999980926514,,http://world-en.openfoodfacts.org/product/7501146010357/platanos-charricos,unknown,unknown,PLÁTANOS | CHARRICOS
tostada,charricos,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501146010371/tostada-charricos,unknown,unknown,TOSTADA | CHARRICOS
Charricas,charricos,unknown,,520.0,0.0,0.196666666666672,2.9999999205271,30.0,46.666666666667,6.6666666666667,,,http://world-en.openfoodfacts.org/product/7501146010388/charricas-charricos,unknown,unknown,CHARRICAS | CHARRICOS
Chips de plátano,Charricos,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501146010463/chips-de-platano-charricos,Salty snacks,Appetizers,CHIPS DE PLÁTANO | CHARRICOS
Kir Salchicha de pavo,Kir,d,4.0,,0.16,0.818,0.64,6.88,8.96,9.12,0.32,3.0,http://world-en.openfoodfacts.org/product/7501147510450/kir-salchicha-de-pavo,Fish Meat Eggs,Processed meat,KIR SALCHICHA DE PAVO | KIR
Kir Lunch,Qualitia,d,4.0,,1.82,0.965,0.909,2.27,10.0,9.55,0.0,2.0,http://world-en.openfoodfacts.org/product/7501147511358/kir-lunch-qualitia,Fish Meat Eggs,Processed meat,KIR LUNCH | QUALITIA
Chorizo casero kir 200g,Kir,unknown,,368.0,9.5,,7.9,7.6,9.1,10.7,3.9,,http://world-en.openfoodfacts.org/product/7501147511457/chorizo-casero-kir-200g,unknown,unknown,CHORIZO CASERO KIR 200G | KIR
Salchicha Kir,Kir,d,4.0,,0.0,1.0,0.48,5.6,11.2,6.88,0.16,2.0,http://world-en.openfoodfacts.org/product/7501147511570/salchicha-kir,Fish Meat Eggs,Processed meat,SALCHICHA KIR | KIR
Kir Pollo Rostizado,Qualitia,d,,,1.92,1.07,0.641,3.21,9.62,10.9,0.0,1.0,http://world-en.openfoodfacts.org/product/7501147511587/kir-pollo-rostizado-qualitia,Fish Meat Eggs,Processed meat,KIR POLLO ROSTIZADO | QUALITIA
Kir super Jumbo,Kir,d,4.0,,0.8,0.806,0.8,12.2,5.6,10.8,0.0,3.0,http://world-en.openfoodfacts.org/product/7501147512829/kir-super-jumbo,Fish Meat Eggs,Processed meat,KIR SUPER JUMBO | KIR
Embutido Americano,Kir,unknown,,103.0,0.4,1.052,1.1,3.4,9.1,9.0,1.4,,http://world-en.openfoodfacts.org/product/7501147513291/embutido-americano-kir,unknown,unknown,EMBUTIDO AMERICANO | KIR
Jamón de pavo - Kir - Kir,KIR,unknown,,115.7,0.2,,1.5,4.5,7.1,11.7,0.2,,http://world-en.openfoodfacts.org/product/7501147514502/jamon-de-pavo-kir-kir,unknown,unknown,JAMÓN DE PAVO - KIR - KIR | KIR
Kir Salchicha para asar,Kir,e,4.0,186.0,0.1,1.269,4.9,14.0,9.0,6.0,0.3,2.0,http://world-en.openfoodfacts.org/product/7501147515035/kir-salchicha-para-asar,Fish Meat Eggs,Processed meat,KIR SALCHICHA PARA ASAR | KIR
